lead_id,created_date,industry,company_size,enquiry_type,response_time_hours,number_of_rfqs,converted,data_source,created_month,fast_response
L004881,2025-09-01,Manufacturing,1-50,Bulk order,10.89,2,0,synthetic_demo,2025-09,0
L011709,2025-09-01,Retail,201-1000,Product enquiry,10.33,6,0,synthetic_demo,2025-09,0
L001133,2025-09-01,Manufacturing,51-200,Bulk order,7.86,2,0,synthetic_demo,2025-09,0
L001129,2025-09-01,Technology,51-200,Bulk order,11.42,5,0,synthetic_demo,2025-09,0
L000469,2025-09-01,Manufacturing,1-50,Bulk order,1.11,3,0,synthetic_demo,2025-09,1
L011962,2025-09-01,Manufacturing,51-200,Product enquiry,31.99,1,0,synthetic_demo,2025-09,0
L007525,2025-09-01,Manufacturing,201-1000,Price quote,10.49,1,0,synthetic_demo,2025-09,0
L002304,2025-09-01,Retail,1-50,Supplier request,2.83,2,0,synthetic_demo,2025-09,1
L003024,2025-09-01,Healthcare,201-1000,Price quote,43.11,2,0,synthetic_demo,2025-09,0
L004407,2025-09-01,Construction,51-200,Price quote,2.26,4,0,synthetic_demo,2025-09,1
L003004,2025-09-01,Technology,201-1000,Product enquiry,8.26,0,0,synthetic_demo,2025-09,0
L008570,2025-09-01,Technology,1001+,Supplier request,8.43,1,0,synthetic_demo,2025-09,0
L001879,2025-09-01,Healthcare,201-1000,Supplier request,9.68,5,1,synthetic_demo,2025-09,0
L009728,2025-09-01,Manufacturing,1001+,Bulk order,7.0,2,0,synthetic_demo,2025-09,0
L008834,2025-09-01,Healthcare,51-200,Supplier request,6.51,3,0,synthetic_demo,2025-09,0
L008455,2025-09-01,Manufacturing,1-50,Price quote,6.84,2,0,synthetic_demo,2025-09,0
L000985,2025-09-01,Manufacturing,51-200,Price quote,9.41,3,0,synthetic_demo,2025-09,0
L010293,2025-09-01,Technology,1-50,Supplier request,8.24,2,0,synthetic_demo,2025-09,0
L009408,2025-09-01,Manufacturing,1001+,Product enquiry,17.72,2,0,synthetic_demo,2025-09,0
L010152,2025-09-01,Construction,201-1000,Product enquiry,5.49,3,1,synthetic_demo,2025-09,1
L010788,2025-09-01,Manufacturing,51-200,Supplier request,5.02,1,0,synthetic_demo,2025-09,1
L007299,2025-09-01,Construction,51-200,Product enquiry,16.02,2,0,synthetic_demo,2025-09,0
L008997,2025-09-01,Technology,1001+,Bulk order,12.01,2,0,synthetic_demo,2025-09,0
L000154,2025-09-01,Healthcare,51-200,Price quote,10.14,2,0,synthetic_demo,2025-09,0
L007618,2025-09-01,Technology,51-200,Supplier request,5.51,2,0,synthetic_demo,2025-09,1
L003136,2025-09-01,Technology,51-200,Price quote,4.47,4,1,synthetic_demo,2025-09,1
L009366,2025-09-02,Manufacturing,201-1000,Bulk order,1.5,5,1,synthetic_demo,2025-09,1
L004512,2025-09-02,Healthcare,1-50,Product enquiry,3.52,1,0,synthetic_demo,2025-09,1
